sample	processed	pseudoaligned	rate_percent	kallisto_version
BB429	114959180	74121572	64.47642719789755	0.51.1
BB430	123421131	84007319	68.06558837967543	0.51.1
BB431	121147617	78891862	65.12044062740418	0.51.1
BB432	136225972	87549781	64.26805381869471	0.51.1
BB433	130851994	87364498	66.76588971200546	0.51.1
BB434	134687264	82990669	61.617310007871275	0.51.1
BB435	125838818	88479157	70.31149720430464	0.51.1
BB441	125979782	88383042	70.15652876744937	0.51.1
BB442	125132622	90553766	72.36623396255536	0.51.1
BB453	112961885	83063775	73.53256808701448	0.51.1
BB455	131133735	93272105	71.12746769547897	0.51.1
BB457	119281807	84584128	70.91117256464769	0.51.1
BB459	127233102	80154461	62.99811899579404	0.51.1
BB460	127348024	81685687	64.14366272381265	0.51.1
BB467	136657838	100424822	73.48632428971985	0.51.1
BB468	143080810	100385493	70.15999769640666	0.51.1
